product_id,product_name,category,supplier,unit_price,stock_qty
PROD0001,Wireless Mouse,Electronics,Nexa Wholesale,276.1,472
PROD0002,Wireless Mouse - Variant 2,Electronics,Global Traders,368.56,469
PROD0003,Wireless Mouse - Variant 3,Electronics,Acme Supplies,456.37,467
PROD0004,Bluetooth Speaker,Electronics,Acme Supplies,503.13,343
PROD0005,Bluetooth Speaker - Variant 2,Electronics,Nexa Wholesale,410.11,410
PROD0006,USB-C Hub,Electronics,Prime Distributors,111.99,226
PROD0007,USB-C Hub - Variant 2,Electronics,Global Traders,157,129
PROD0008,4K Monitor,Electronics,Acme Supplies,508.54,166
PROD0009,4K Monitor - Variant 2,Electronics,Global Traders,232.46,226
PROD0010,4K Monitor - Variant 3,Electronics,Nexa Wholesale,101.95,390
PROD0011,Mechanical Keyboard,Electronics,Global Traders,168.15,6
PROD0012,Mechanical Keyboard - Variant 2,Electronics,Acme Supplies,250.39,174
PROD0013,Mechanical Keyboard - Variant 3,Electronics,Prime Distributors,142.31,471
PROD0014,Laptop Stand,Electronics,Global Traders,6.03,455
PROD0015,Laptop Stand - Variant 2,Electronics,Acme Supplies,208.86,272
PROD0016,Laptop Stand - Variant 3,Electronics,Acme Supplies,100.98,422
PROD0017,Webcam,Electronics,Prime Distributors,257.88,187
PROD0018,Webcam - Variant 2,Electronics,Acme Supplies,43.23,494
PROD0019,Webcam - Variant 3,Electronics,Global Traders,277.53,271
PROD0020,Power Bank,Electronics,Bluebird Imports,391.71,125
PROD0021,Power Bank - Variant 2,Electronics,Nexa Wholesale,563.08,476
PROD0022,Smartwatch,Electronics,Global Traders,390.44,147
PROD0023,Smartwatch - Variant 2,Electronics,Acme Supplies,454.27,365
PROD0024,Noise Cancelling Headphones,Electronics,Acme Supplies,261.68,485
PROD0025,Noise Cancelling Headphones - Variant 2,Electronics,Nexa Wholesale,109.89,314
PROD0026,Noise Cancelling Headphones - Variant 3,Electronics,Prime Distributors,413.69,385
PROD0027,Office Chair,Furniture,Prime Distributors,152.85,491
PROD0028,Office Chair - Variant 2,Furniture,Global Traders,21.47,
PROD0029,Office Chair - Variant 3,Furniture,Bluebird Imports,159.41,72
PROD0030,Standing Desk,Furniture,Nexa Wholesale,360.73,155
PROD0031,Standing Desk - Variant 2,Furniture,Acme Supplies,51.38,274
PROD0032,Bookshelf,Furniture,Acme Supplies,48.7,72
PROD0033,Bookshelf - Variant 2,Furniture,Nexa Wholesale,336.59,331
PROD0034,Filing Cabinet,Furniture,Nexa Wholesale,552.82,91
PROD0035,Filing Cabinet - Variant 2,Furniture,Prime Distributors,540.44,155
PROD0036,Filing Cabinet - Variant 3,Furniture,Global Traders,239.9,227
PROD0037,Desk Lamp,Furniture,Nexa Wholesale,517.48,175
PROD0038,Desk Lamp - Variant 2,Furniture,Global Traders,197,15
PROD0039,Sofa,Furniture,Global Traders,498.11,54
PROD0040,Sofa - Variant 2,Furniture,Prime Distributors,513.73,343
PROD0041,Sofa - Variant 3,Furniture,Bluebird Imports,204.65,5
PROD0042,Coffee Table,Furniture,Acme Supplies,48.23,80
PROD0043,Coffee Table - Variant 2,Furniture,Bluebird Imports,470.55,159
PROD0044,Bed Frame,Furniture,Global Traders,112.46,246
PROD0045,Bed Frame - Variant 2,Furniture,Acme Supplies,62.78,196
PROD0046,Bed Frame - Variant 3,Furniture,Acme Supplies,156.09,291
PROD0047,Notebook Pack,Office Supplies,Prime Distributors,41.92,7
PROD0048,Notebook Pack - Variant 2,Office Supplies,Global Traders,164.65,479
PROD0049,Stapler,Office Supplies,Global Traders,221.36,70
PROD0050,Stapler - Variant 2,Office Supplies,Prime Distributors,224.78,189
PROD0051,Stapler - Variant 3,Office Supplies,Bluebird Imports,222.91,339
PROD0052,Sticky Notes,Office Supplies,Global Traders,524.08,146
PROD0053,Sticky Notes - Variant 2,Office Supplies,Acme Supplies,457.67,
PROD0054,Printer Paper,Office Supplies,Nexa Wholesale,532.54,436
PROD0055,Printer Paper - Variant 2,Office Supplies,Nexa Wholesale,222.38,134
PROD0056,Whiteboard,Office Supplies,Nexa Wholesale,35.09,428
PROD0057,Whiteboard - Variant 2,Office Supplies,Prime Distributors,224.76,
PROD0058,Binder Clips,Office Supplies,Acme Supplies,265.81,56
PROD0059,Binder Clips - Variant 2,Office Supplies,Nexa Wholesale,278.67,47
PROD0060,Binder Clips - Variant 3,Office Supplies,Nexa Wholesale,245.79,245
PROD0061,Highlighters,Office Supplies,Nexa Wholesale,546.36,225
PROD0062,Highlighters - Variant 2,Office Supplies,Global Traders,41.13,34
PROD0063,Envelope Pack,Office Supplies,Nexa Wholesale,219.88,122
PROD0064,Envelope Pack - Variant 2,Office Supplies,Bluebird Imports,562.27,29
PROD0065,Envelope Pack - Variant 3,Office Supplies,Global Traders,47.55,247
PROD0066,T-Shirt,Clothing,Nexa Wholesale,339.91,56
PROD0067,T-Shirt - Variant 2,Clothing,Nexa Wholesale,40.64,268
PROD0068,Hoodie,Clothing,Global Traders,147.64,
