order_id,customer_id,product_id,order_date,ship_date,region,ship_mode,quantity,unit_price,discount,sales_amount
ORD001674,CUST00858,PROD0053,05-06-2022,08-06-2022,Latin America,Same Day,10,457.67,0,4576.7
ORD002560,CUST00241,PROD0057,20-05-2023,21-05-2023,Latin America,Standard Class,10,224.76,0,2247.6
ORD002009,CUST00704,PROD0101,10-11-2024,11-11-2024,North America,Standard Class,2,576.35,0.05,1095.07
ORD000862,CUST00207,PROD0061,15-08-2022,17-08-2022,Asia Pacific,Standard Class,2,546.36,0.05,1038.08
ORD000928,CUST00115,PROD0083,10-10-2024,15-10-2024,Asia Pacific,Standard Class,9,14.31,0.1,115.91
ORD000921,CUST00448,PROD0039,04-01-2023,10-01-2023,Asia Pacific,First Class,1,498.11,0.15,423.39
ORD000195,CUST00758,PROD0009,20-09-2022,21-09-2022,North America,Standard Class,5,232.46,0.1,1046.07
ORD000419,CUST00548,PROD0021,26-12-2024,02-01-2025,Asia Pacific,Standard Class,8,563.08,0,4504.64
ORD003158,CUST00523,PROD0104,18-03-2024,22-03-2024,North America,First Class,9,256.59,0.15,1962.91
ORD002456,CUST00774,PROD0010,04-07-2022,11-07-2022,North America,Standard Class,7,101.95,0.2,570.92
ORD002842,CUST00042,PROD0021,20-08-2023,24-08-2023,Asia Pacific,First Class,8,563.08,0.15,3828.94
ORD000883,CUST00040,PROD0045,15-11-2024,18-11-2024,Latin America,Same Day,1,62.78,0.05,59.64
ORD001959,CUST00357,PROD0101,11-10-2024,18-10-2024,Europe,Second Class,1,576.35,0,576.35
ORD003138,CUST00030,PROD0108,07-07-2023,09-07-2023,Asia Pacific,First Class,3,264.17,0,792.51
ORD001988,CUST00855,PROD0019,06-03-2022,08-03-2022,Asia Pacific,Standard Class,2,277.53,,444.05
ORD002762,CUST00526,PROD0007,14-11-2023,18-11-2023,North America,Same Day,10,157,0.05,1491.5
ORD000074,CUST00716,PROD0016,21-03-2022,22-03-2022,Asia Pacific,Second Class,3,100.98,0,302.94
ORD001266,CUST00464,PROD0100,07-04-2024,13-04-2024,Asia Pacific,First Class,3,160.34,0.2,384.82
ORD001980,CUST00111,PROD0008,16-04-2024,21-04-2024,Europe,Standard Class,5,508.54,0.2,2034.16
ORD002705,CUST00447,PROD0086,23-05-2023,28-05-2023,Europe,Same Day,6,118.96,0.2,571.01
ORD002684,CUST00902,PROD0090,18-08-2023,23-08-2023,Asia Pacific,Second Class,9,309.43,0,2784.87
ORD001110,CUST00204,PROD0065,02-06-2023,06-06-2023,North America,Second Class,4,47.55,0,190.2
ORD002052,CUST00904,PROD0060,20-05-2024,27-05-2024,Asia Pacific,Second Class,7,245.79,0.15,1462.45
ORD002419,CUST00001,PROD0043,08-03-2023,11-03-2023,North America,Second Class,3,470.55,0.15,1199.9
ORD001088,CUST00478,PROD0028,17-09-2022,23-09-2022,Europe,Standard Class,3,21.47,0,64.41
ORD002734,CUST00045,PROD0101,22-11-2024,26-11-2024,Latin America,Second Class,9,576.35,0,5187.15
ORD001523,CUST00360,PROD0050,29-01-2023,31-01-2023,,Standard Class,7,224.78,0,1573.46
ORD001572,CUST00106,PROD0060,27-08-2024,29-08-2024,North America,Standard Class,5,245.79,0,1228.95
ORD000062,CUST00767,PROD0076,08-11-2024,10-11-2024,Europe,Standard Class,6,393.52,0,2361.12
ORD002466,CUST00537,PROD0101,19-06-2023,25-06-2023,Latin America,Standard Class,7,576.35,0,4034.45
ORD002770,CUST00694,PROD0055,07-06-2022,09-06-2022,North America,First Class,2,222.38,0,444.76
ORD001753,CUST00368,PROD0020,09-05-2024,11-05-2024,North America,First Class,6,391.71,0.15,1997.72
ORD002860,CUST00271,PROD0071,20-10-2023,27-10-2023,North America,Second Class,10,567.98,0,5679.8
ORD002209,CUST00284,PROD0036,09-05-2024,12-05-2024,Europe,,9,239.9,0.05,2051.14
ORD003157,CUST00254,PROD0099,06-07-2024,,Europe,Standard Class,10,330.98,0,3309.8
ORD002178,CUST00600,PROD0025,22-11-2024,25-11-2024,Asia Pacific,Standard Class,9,109.89,0.15,840.66
ORD001828,CUST00279,PROD0004,07-03-2024,12-03-2024,Europe,Second Class,5,503.13,0.15,2138.3
ORD000120,CUST00205,PROD0066,08-04-2024,10-04-2024,Europe,Second Class,7,339.91,0.05,2260.4
ORD001377,CUST00860,PROD0010,16-06-2024,17-06-2024,Europe,Same Day,9,101.95,0.05,871.67
ORD000228,CUST00862,PROD0058,03-08-2024,07-08-2024,Asia Pacific,Same Day,10,265.81,0,2658.1
ORD001077,CUST00100,PROD0068,30-08-2022,31-08-2022,Latin America,Standard Class,6,147.64,0.1,797.26
ORD002340,CUST00371,PROD0108,28-06-2023,30-06-2023,Latin America,Same Day,2,264.17,0.2,422.67
ORD001411,CUST00016,PROD0094,09-07-2023,16-07-2023,North America,Standard Class,6,585.09,0.15,2983.96
ORD001837,CUST00188,PROD0099,14-04-2022,,Asia Pacific,Standard Class,8,330.98,0.2,2118.27
ORD001839,CUST00894,PROD0081,15-11-2024,21-11-2024,Latin America,Standard Class,7,29.84,0.2,167.1
ORD001276,CUST00054,PROD0082,17-06-2023,19-06-2023,North America,Standard Class,10,542.12,0.1,4879.08
ORD001605,CUST00750,PROD0084,02-12-2024,08-12-2024,North America,First Class,3,435.65,0,1306.95
ORD000888,CUST00799,PROD0073,19-07-2022,22-07-2022,Asia Pacific,Standard Class,2,171.97,0.15,292.35
ORD002647,CUST00126,PROD0005,14-05-2023,15-05-2023,Europe,Standard Class,10,410.11,0.15,3485.94
ORD000274,CUST00503,PROD0105,17-07-2024,23-07-2024,Asia Pacific,First Class,3,492.55,0.15,1256
ORD001852,CUST00704,PROD0109,29-04-2024,02-05-2024,Asia Pacific,Second Class,10,15.42,0.2,123.36
ORD000366,CUST00521,PROD0043,04-06-2023,09-06-2023,North America,Standard Class,9,470.55,0.1,3811.45
ORD002896,CUST00917,PROD0055,22-07-2023,28-07-2023,Asia Pacific,Standard Class,2,222.38,0.15,378.05
ORD001367,CUST00548,PROD0087,13-03-2022,20-03-2022,Asia Pacific,Second Class,3,563.97,0,1691.91
ORD001697,CUST00285,PROD0084,19-02-2022,23-02-2022,Asia Pacific,Standard Class,1,435.65,0.1,392.08
ORD002084,CUST00210,PROD0010,27-10-2022,30-10-2022,Europe,Standard Class,10,101.95,0,1019.5
ORD001453,CUST00195,PROD0068,07-03-2024,14-03-2024,North America,Standard Class,8,147.64,0,1181.12
ORD000697,CUST00786,PROD0094,22-03-2022,24-03-2022,Latin America,Same Day,2,585.09,0.1,1053.16
ORD000530,CUST00983,PROD0020,01-07-2023,07-07-2023,North America,Standard Class,8,391.71,,2820.31
ORD001569,CUST00532,PROD0002,16-05-2022,21-05-2022,Asia Pacific,Same Day,10,368.56,0.1,3317.04
ORD000940,CUST00136,PROD0073,22-08-2023,27-08-2023,Latin America,First Class,5,171.97,0.15,730.87
ORD002303,CUST00465,PROD0038,16-06-2023,22-06-2023,Latin America,Standard Class,3,197,0.1,531.9
ORD002676,CUST00386,PROD0022,27-02-2022,01-03-2022,North America,First Class,4,390.44,0,1561.76
ORD000307,CUST00564,PROD0018,03-02-2022,04-02-2022,Asia Pacific,Standard Class,4,43.23,0.05,164.27
ORD001239,CUST00696,PROD0086,09-06-2023,12-06-2023,Europe,Standard Class,4,118.96,0.2,380.67
ORD002738,CUST00017,PROD0100,14-08-2024,19-08-2024,Latin America,Second Class,2,160.34,0.15,272.58
ORD000770,CUST00858,PROD0054,21-07-2024,28-07-2024,North America,Second Class,4,532.54,0,2130.16
ORD002788,CUST00961,PROD0010,14-12-2022,17-12-2022,Europe,Same Day,8,101.95,0.2,652.48
ORD001274,CUST00358,PROD0052,21-08-2024,22-08-2024,Europe,Second Class,1,524.08,0.2,419.26
ORD002712,CUST00220,PROD0059,31-08-2023,01-09-2023,Latin America,Standard Class,7,278.67,0,1950.69
ORD001631,CUST00431,PROD0007,13-06-2023,16-06-2023,North America,First Class,9,157,0.2,1130.4
ORD002624,CUST00177,PROD0010,14-05-2022,19-05-2022,North America,First Class,6,101.95,0.05,581.12
ORD000449,CUST00891,PROD0015,09-06-2023,11-06-2023,North America,Second Class,4,208.86,0.2,668.35
ORD001375,CUST00412,PROD0035,29-05-2022,01-06-2022,Europe,Standard Class,1,540.44,0,540.44
ORD002452,CUST00243,PROD0078,15-03-2022,19-03-2022,Europe,Second Class,6,324.59,0,1947.54
ORD002328,CUST00373,PROD0073,05-06-2023,12-06-2023,Europe,Same Day,10,171.97,0.15,1461.74
ORD002220,CUST00391,PROD0102,29-08-2024,02-09-2024,Europe,Standard Class,6,86.56,0.05,493.39
ORD002115,CUST00175,PROD0058,25-03-2022,31-03-2022,North America,Second Class,3,265.81,0.2,637.94
ORD002212,CUST00040,PROD0102,22-02-2022,01-03-2022,Latin America,Same Day,6,86.56,0,519.36
ORD002306,CUST00896,PROD0017,05-11-2023,06-11-2023,Europe,Standard Class,8,257.88,0,2063.04
ORD000371,CUST00511,PROD0086,29-05-2023,02-06-2023,Europe,Standard Class,1,118.96,0.2,95.17
ORD001401,CUST00008,PROD0024,22-06-2022,23-06-2022,Latin America,Standard Class,8,261.68,0,2093.44
ORD002487,CUST00091,PROD0059,14-08-2024,17-08-2024,Latin America,Standard Class,7,278.67,0.05,1853.16
ORD000254,CUST00520,PROD0027,31-05-2022,07-06-2022,North America,Standard Class,,152.85,0,1069.95
ORD001659,CUST00357,PROD0078,28-05-2024,30-05-2024,Asia Pacific,Second Class,3,324.59,0.2,779.02
ORD002434,CUST00100,PROD0011,03-02-2024,05-02-2024,Europe,Standard Class,9,168.15,0.1,1362.02
ORD002802,CUST00752,PROD0110,07-03-2022,11-03-2022,Latin America,Standard Class,6,453.31,0,2719.86
ORD001873,CUST00404,PROD0101,27-02-2024,05-03-2024,Asia Pacific,Standard Class,7,576.35,0,4034.45
ORD002943,CUST00426,PROD0029,15-11-2022,22-11-2022,Europe,Standard Class,9,159.41,0.2,1147.75
ORD001302,CUST00344,PROD0096,04-04-2023,07-04-2023,Asia Pacific,Standard Class,6,343.31,0.2,1647.89
ORD001002,CUST00831,PROD0011,24-05-2023,30-05-2023,North America,Standard Class,4,168.15,0,672.6
ORD000503,CUST00856,PROD0073,31-10-2024,01-11-2024,Latin America,Standard Class,3,171.97,0.1,464.32
ORD001541,CUST00106,PROD0025,23-08-2023,26-08-2023,North America,Second Class,4,109.89,0.2,351.65
ORD003183,CUST00180,PROD0089,10-11-2023,11-11-2023,Asia Pacific,First Class,9,143.69,0.15,1099.23
ORD001553,CUST00670,PROD0025,01-06-2024,04-06-2024,North America,First Class,10,109.89,0.2,879.12
ORD003021,CUST00665,PROD0043,09-01-2022,15-01-2022,North America,Standard Class,1,470.55,0,470.55
ORD001341,CUST00477,PROD0032,02-04-2023,09-04-2023,Latin America,Second Class,9,48.7,0.2,350.64
ORD001437,CUST00676,PROD0064,17-08-2022,20-08-2022,Europe,Second Class,1,562.27,0.2,449.82
ORD002146,CUST00960,PROD0036,12-08-2024,17-08-2024,Europe,First Class,4,239.9,0,959.6
ORD001176,CUST00967,PROD0045,25-04-2023,02-05-2023,Latin America,Second Class,2,62.78,0.2,100.45
ORD000796,CUST00906,PROD0099,24-04-2023,29-04-2023,North America,Standard Class,10,330.98,,2647.84
ORD000666,CUST00315,PROD0045,20-11-2023,24-11-2023,Latin America,Same Day,2,62.78,0.2,100.45
ORD002194,CUST00613,PROD0108,08-06-2024,14-06-2024,Latin America,Second Class,1,264.17,0.15,224.54
ORD001440,CUST00326,PROD0002,16-09-2024,18-09-2024,Europe,Standard Class,2,368.56,0,737.12
ORD000027,CUST00982,PROD0039,21-05-2022,28-05-2022,Asia Pacific,Standard Class,2,498.11,0.15,846.79
ORD002063,CUST00679,PROD0038,16-03-2022,19-03-2022,Europe,Same Day,3,197,0.1,531.9
ORD002119,CUST00914,PROD0067,01-11-2023,04-11-2023,Latin America,Second Class,4,40.64,0.15,138.18
ORD003036,CUST00992,PROD0031,02-10-2024,08-10-2024,Europe,Second Class,1,51.38,0,51.38
ORD000852,CUST00788,PROD0099,05-09-2023,10-09-2023,Asia Pacific,Same Day,9,330.98,0.1,2680.94
ORD000251,CUST00158,PROD0036,31-05-2023,05-06-2023,Europe,Standard Class,6,239.9,0,1439.4
ORD000959,CUST00732,PROD0069,27-07-2024,31-07-2024,Asia Pacific,Standard Class,9,519.47,0.2,3740.18
ORD000835,CUST00028,PROD0114,22-06-2023,26-06-2023,,Standard Class,4,320.6,0.1,1154.16
ORD001030,CUST00465,PROD0044,05-08-2023,07-08-2023,Latin America,Standard Class,7,112.46,0,787.22
ORD002071,CUST00427,PROD0079,21-03-2023,28-03-2023,Latin America,Standard Class,9,301.9,0.05,2581.24
ORD000312,CUST00943,PROD0064,12-05-2024,17-05-2024,North America,Standard Class,7,562.27,0,3935.89
ORD000029,CUST00322,PROD0041,02-12-2022,09-12-2022,Latin America,Standard Class,3,204.65,0.2,491.16
ORD000598,CUST00828,PROD0054,18-12-2024,20-12-2024,Asia Pacific,Standard Class,8,532.54,0.2,3408.26
ORD002693,CUST00684,PROD0018,20-06-2023,22-06-2023,Latin America,Standard Class,6,43.23,0,259.38
ORD002511,CUST00234,PROD0077,21-12-2023,27-12-2023,North America,Standard Class,8,19.56,0,156.48
ORD002464,CUST00745,PROD0082,16-12-2023,17-12-2023,Asia Pacific,Standard Class,3,542.12,0,1626.36
ORD000461,CUST00394,PROD0097,11-11-2023,13-11-2023,Latin America,Second Class,4,497.68,0.2,1592.58
ORD001537,CUST00865,PROD0024,11-04-2023,16-04-2023,Asia Pacific,Same Day,5,261.68,0,1308.4
ORD000199,CUST00478,PROD0062,15-02-2024,19-02-2024,Asia Pacific,First Class,10,41.13,0.05,390.74
ORD001847,CUST00919,PROD0046,15-06-2023,17-06-2023,North America,Standard Class,5,156.09,0,780.45
ORD002966,CUST00410,PROD0111,18-02-2024,25-02-2024,Europe,,2,87.33,0.2,139.73
ORD001307,CUST00219,PROD0108,16-01-2024,21-01-2024,Europe,Same Day,6,264.17,0.2,1268.02
ORD000182,CUST00047,PROD0112,13-02-2023,17-02-2023,North America,,10,229.22,0.05,2177.59
ORD000678,CUST00599,PROD0047,07-07-2022,14-07-2022,North America,Standard Class,7,41.92,0.05,278.77
ORD002083,CUST00953,PROD0036,10-12-2024,12-12-2024,Asia Pacific,Standard Class,5,239.9,0.15,1019.57
ORD001262,CUST00213,PROD0099,12-04-2022,19-04-2022,Latin America,Same Day,4,330.98,0.15,1125.33
ORD000723,CUST00346,PROD0050,08-08-2024,11-08-2024,Europe,Same Day,3,224.78,0.15,573.19
ORD003084,CUST00186,PROD0072,11-08-2024,13-08-2024,North America,Standard Class,5,380.44,0,1902.2
ORD000865,CUST00184,PROD0073,03-07-2024,04-07-2024,North America,Standard Class,5,171.97,0,859.85
ORD000618,CUST00612,PROD0043,31-07-2024,01-08-2024,Asia Pacific,Second Class,3,470.55,,1411.65
ORD001749,CUST00142,PROD0011,12-11-2024,16-11-2024,Europe,Second Class,3,168.15,0,504.45
ORD002563,CUST00613,PROD0048,07-07-2023,11-07-2023,Latin America,Second Class,2,164.65,0.05,312.83
ORD003094,CUST00543,PROD0099,05-08-2024,,Europe,Second Class,7,330.98,0,2316.86
ORD002806,CUST00562,PROD0011,28-04-2022,02-05-2022,Europe,Same Day,3,168.15,0,504.45
ORD001478,CUST00919,PROD0091,04-04-2024,08-04-2024,Asia Pacific,Standard Class,4,595.15,0,2380.6
ORD000614,CUST00899,PROD0085,14-11-2024,19-11-2024,Europe,Second Class,10,174.68,0,1746.8
ORD000281,CUST00392,PROD0082,26-06-2024,03-07-2024,Europe,Standard Class,8,542.12,0.15,3686.42
ORD000348,CUST00706,PROD0058,15-07-2023,17-07-2023,North America,First Class,5,265.81,0.15,1129.69
ORD000270,CUST00356,PROD0064,04-09-2023,08-09-2023,Latin America,Second Class,1,562.27,0,562.27
ORD001000,CUST00333,PROD0115,26-09-2024,01-10-2024,Asia Pacific,Standard Class,5,264.42,0.05,1256
ORD002254,CUST00416,PROD0095,03-11-2023,07-11-2023,Latin America,Standard Class,9,247.15,0,2224.35
ORD002612,CUST00559,PROD0038,22-12-2022,29-12-2022,Europe,Standard Class,2,197,0.1,354.6
ORD002576,CUST00743,PROD0040,22-08-2022,27-08-2022,Latin America,Same Day,10,513.73,0.05,4880.43
ORD002710,CUST00687,PROD0087,05-09-2022,07-09-2022,Asia Pacific,Second Class,5,563.97,0.2,2255.88
ORD002253,CUST00662,PROD0027,02-08-2022,07-08-2022,Asia Pacific,Same Day,5,152.85,0,764.25
ORD002991,CUST00723,PROD0095,22-10-2024,23-10-2024,Asia Pacific,Standard Class,3,247.15,0.05,704.38
ORD000328,CUST00854,PROD0066,14-12-2024,19-12-2024,Europe,Standard Class,6,339.91,0.2,1631.57
ORD002286,CUST00159,PROD0077,11-05-2023,12-05-2023,Europe,Standard Class,1,19.56,0,19.56
ORD001663,CUST00872,PROD0092,12-12-2022,14-12-2022,Latin America,Same Day,5,119.48,0,597.4
ORD000711,CUST00431,PROD0051,24-06-2022,28-06-2022,Asia Pacific,Same Day,3,222.91,0,668.73
ORD001165,CUST00539,PROD0089,15-11-2023,19-11-2023,Latin America,Second Class,8,143.69,0.05,1092.04
ORD001978,CUST00279,PROD0071,20-05-2024,24-05-2024,North America,Standard Class,3,567.98,0,1703.94
ORD001682,CUST00682,PROD0047,08-12-2024,09-12-2024,Asia Pacific,Standard Class,10,41.92,0.1,377.28
ORD000477,CUST00213,PROD0064,05-06-2022,07-06-2022,Asia Pacific,Second Class,1,562.27,0.15,477.93
